台帳ID,管理対象ID,名称,棟名,文化財種類,種別1,種別2,国,時代,重文指定年月日,国宝指定年月日,都道府県,所在地,保管施設の名称,所有者名,管理団体又は責任者,緯度,経度
"101","00009923","新井家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","江戸","20140425","","東京都","東京都調布市入間町1-4","","","","35.65269412","139.58502102"
"101","00009437","新井家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","昭和前","20130329","","東京都","東京都新宿区北山伏町2","","","","35.69985367","139.72957284"
"101","00009927","新井家住宅中門及び塀","","登録有形文化財(建造物)","住宅","その他工作","","明治","20140425","","東京都","東京都調布市入間町1-4-3","","","","35.65258768","139.58495204"
"101","00009924","新井家住宅内蔵","","登録有形文化財(建造物)","住宅","建築物","","江戸","20140425","","東京都","東京都調布市入間町1-4","","","","35.65280324","139.58488152"
"101","00000638","新町館（三宅家住宅）","","登録有形文化財(建造物)","住宅","建築物","","昭和前","19980902","","東京都","東京都文京区白山1-29-5","","","","35.71930817","139.75306107"
"101","00009733","森田家住宅旧米蔵","","登録有形文化財(建造物)","住宅","建築物","","江戸","20131224","","東京都","東京都あきる野市小川字小仲633-4","","有限会社久森","","35.72140850","139.31628102"
"101","00009729","森田家住宅見世蔵","","登録有形文化財(建造物)","住宅","建築物","","江戸","20131224","","東京都","東京都あきる野市小川字小仲633-1","","","","35.72092309","139.31629530"
"101","00009734","森田家住宅御看経堂","","登録有形文化財(建造物)","住宅","建築物","","江戸","20131224","","東京都","東京都あきる野市小川字小仲633-1","","","","35.72124670","139.31607401"
"101","00009728","森田家住宅主屋","","登録有形文化財(建造物)","住宅","建築物","","江戸","20131224","","東京都","東京都あきる野市小川字小仲633-1","","","","35.72115152","139.31638096"
"101","00009732","森田家住宅西蔵","","登録有形文化財(建造物)","住宅","建築物","","江戸","20131224","","東京都","東京都あきる野市小川字小仲633-1","","","","35.72116341","139.31609542"
"101","00009730","森田家住宅前の蔵","","登録有形文化財(建造物)","住宅","建築物","","江戸","20131224","","東京都","東京都あきる野市小川字小仲633-1","","","","35.72089692","139.31649517"
"101","00009736","森田家住宅板塀","","登録有形文化財(建造物)","住宅","その他工作","","昭和前","20131224","","東京都","東京都あきる野市小川字小仲633-1","","","","35.72098382","139.31612402"
"101","00009731","森田家住宅味噌蔵","","登録有形文化財(建造物)","住宅","建築物","","江戸","20131224","","東京都","東京都あきる野市小川字小仲633-1","","","","35.72100399","139.31654038"
"101","00009735","森田家住宅門","","登録有形文化財(建造物)","住宅","その他工作","","江戸","20131224","","東京都","東京都あきる野市小川字小仲633-1","","","","35.72096592","139.31623343"
"101","00011082","森博士の家","","登録有形文化財(建造物)","住宅","建築物","","昭和中","20160801","","東京都","東京都文京区本駒込一丁目11-51","","","","35.72640900","139.74977200"
"101","00001661","真木家住宅日本館","","登録有形文化財(建造物)","住宅","建築物","","明治","20000428","","東京都","東京都調布市上石原2-48-4","","","","35.65344368","139.52752772"
"101","00001660","真木家住宅洋館","","登録有形文化財(建造物)","住宅","建築物","","明治","20000428","","東京都","東京都調布市上石原2-48-4","","","","35.65353245","139.52738048"
